127.0.0.1 - - [17/Mar/2017:08:24:07 +0530] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:10 +0530] "GET /shoppingcart/ HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:10 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:10 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:10 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:46 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:46 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:46 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:48 +0530] "GET /shoppingcart/clickAbout HTTP/1.1" 200 3845
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:48 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:48 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:49 +0530] "GET /shoppingcart/clickHome HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:49 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:49 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:49 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:49 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:49 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:50 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:50 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:50 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:53 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:53 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:53 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:56 +0530] "GET /shoppingcart/clickRegister HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:56 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:56 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:58 +0530] "GET /shoppingcart/clickLogin HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:58 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:24:58 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:25:00 +0530] "GET /shoppingcart/clickAbout HTTP/1.1" 200 3845
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:25:00 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:25:00 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:25:01 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:25:01 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:25:01 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:25:33 +0530] "GET /shoppingcart/selViewSupplier HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:25:49 +0530] "GET /shoppingcart/selViewSupplier HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:01 +0530] "GET /shoppingcart/selDeleteSupplier HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:10 +0530] "GET /shoppingcart/deleteSupplier?sID=2 HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:10 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:10 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:14 +0530] "GET /shoppingcart/selViewSupplier HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:19 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:19 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:19 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:23 +0530] "GET /shoppingcart/selViewSupplier HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:39 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:39 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:39 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:43 +0530] "GET /shoppingcart/selDeleteSupplier HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:49 +0530] "GET /shoppingcart/deleteSupplier?sID=2 HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:49 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:26:49 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
