127.0.0.1 - - [06/Apr/2017:14:42:43 +0530] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:45 +0530] "GET /shoppingcart/ HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:46 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:46 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:46 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:47 +0530] "GET /shoppingcart/Resources/images/img1.png HTTP/1.1" 200 372105
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:47 +0530] "GET /shoppingcart/Resources/images/img2.jpg HTTP/1.1" 200 45316
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:47 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:47 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:47 +0530] "GET /shoppingcart/Resources/images/img4.jpg HTTP/1.1" 200 268419
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:48 +0530] "GET /shoppingcart/Resources/images/img3.jpg HTTP/1.1" 200 1399822
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:53 +0530] "GET /shoppingcart/clickHome HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:53 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:53 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:53 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:53 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:53 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:54 +0530] "GET /shoppingcart/clickAbout HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:54 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:54 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:55 +0530] "GET /shoppingcart/Resources/images/img5.jpg HTTP/1.1" 200 1764418
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:55 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:42:55 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:03 +0530] "GET /shoppingcart/clickProducts HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:13 +0530] "GET /shoppingcart/clickRegister HTTP/1.1" 200 3597
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:13 +0530] "GET /shoppingcart/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:13 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:13 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:13 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:13 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:17 +0530] "GET /shoppingcart/clickLogin HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:17 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
